date,ticker,name,sector,industry,price,low_52w,high_52w,pct_from_low,pct_from_high,dividend_yield_pct,trailing_pe,market_cap,updated_at
2026-08-21,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,103.7,94.62,134.84,9.59,-23.09,95.0,37.57,825252773888.0,2026-08-24T09:30:56.478475+00:00
2026-08-21,NFG,National Fuel Gas Company,Energy,Oil & Gas Integrated,82.48,74.64,96.03,10.51,-14.11,2.69,11.49,7839320064.0,2026-08-24T09:31:00.215566+00:00
2026-08-21,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,168.29,147.54,194.81,14.07,-13.61,2.23,7.94,25828818944.0,2026-08-24T09:31:18.954689+00:00
2026-08-21,TNC,Tennant Company,Industrials,Specialty Industrial Machinery,68.68,59.89,91.93,14.68,-25.29,1.81,66.04,1170946176.0,2026-08-24T09:31:23.465869+00:00
2026-08-21,ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,106.35,92.2,114.33,15.34,-6.98,3.3,17.49,39331274752.0,2026-08-24T09:31:10.777435+00:00
2026-08-21,FTS,Fortis Inc.,Utilities,Utilities - Regulated Electric,54.9,47.45,58.92,15.7,-6.82,3.38,22.32,28048410624.0,2026-08-24T09:31:11.473395+00:00
2026-08-21,RPM,RPM International Inc.,Basic Materials,Specialty Chemicals,108.63,91.96,126.56,18.13,-14.17,1.99,21.01,13865859072.0,2026-08-24T09:30:58.719703+00:00
2026-08-21,KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,109.31,91.17,128.11,19.9,-14.67,4.68,21.6,36354215936.0,2026-08-24T09:31:17.446984+00:00
2026-08-21,SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,431.29,359.36,524.87,20.02,-17.83,90.0,26.25,127144296448.0,2026-08-24T09:31:12.224828+00:00
2026-08-21,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,282.29,234.38,301.92,20.44,-6.5,2.44,25.57,80396197888.0,2026-08-24T09:31:08.478231+00:00
2026-08-21,FUL,H. B. Fuller Company,Basic Materials,Specialty Chemicals,58.7,48.3,68.05,21.54,-13.74,1.67,17.42,3157321216.0,2026-08-24T09:30:47.471469+00:00
2026-08-21,CWT,California Water Service Group,Utilities,Utilities - Regulated Water,49.55,40.39,53.46,22.67,-7.32,2.7,22.22,3064127232.0,2026-08-24T09:31:07.740045+00:00
2026-08-21,HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,23.88,19.47,27.89,22.67,-14.37,4.9,28.09,,2026-08-24T09:31:19.715379+00:00
2026-08-21,TR,"Tootsie Roll Industries, Inc.",Consumer Defensive,Confectioners,40.99,33.21,44.95,23.44,-8.81,88.0,32.28,3080933888.0,2026-08-24T09:31:03.957388+00:00
2026-08-21,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,91.08,73.22,98.15,24.39,-7.21,2.33,35.86,72606498816.0,2026-08-24T09:31:05.513951+00:00
2026-08-21,PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,113.63,91.35,130.99,24.39,-13.26,2.6,16.3,25259948032.0,2026-08-24T09:31:12.975290+00:00
2026-08-21,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,66.09,53.01,77.06,24.68,-14.24,6.42,13.91,110353367040.0,2026-08-24T09:31:20.498728+00:00
2026-08-21,CBSH,"Commerce Bancshares, Inc.",Financial Services,Banks - Regional,58.38,46.74,60.92,24.89,-4.17,1.88,14.31,8373570560.0,2026-08-24T09:31:13.710991+00:00
2026-08-21,SYY,Sysco Corporation,Consumer Defensive,Food Distribution,84.1,67.23,90.56,25.09,-7.14,2.62,22.98,40245518336.0,2026-08-24T09:30:54.251498+00:00
2026-08-21,NWN,Northwest Natural Holding Compa,Utilities,Utilities - Regulated Gas,49.42,39.22,54.92,26.01,-10.02,3.99,16.53,2080262528.0,2026-08-24T09:30:49.741659+00:00
2026-08-21,MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,189.43,149.32,207.14,26.86,-8.55,1.14,23.59,7307885056.0,2026-08-24T09:31:04.690781+00:00
2026-08-21,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,201.92,157.78,236.42,27.98,-14.59,1.04,24.39,27194630144.0,2026-08-24T09:31:09.219468+00:00
2026-08-21,BKH,Black Hills Corporation,Utilities,Utilities - Regulated Gas,71.69,55.88,77.21,28.29,-7.15,3.92,18.06,5466588160.0,2026-08-24T09:30:57.969520+00:00
